label,Shot_Length,Motion_Distribution_Mean,Motion_Distribution_Variance,Frame_Diff_Distribution_Mean,Frame_Diff_Distribution_Variance,Short_Time_Energy_Mean,Short_Time_Energy_Variance,ZCR_Mean,ZCR_Variance,Spectral_Centroid_Mean,Spectral_Centroid_Variance,Spectral_Roll_Off_Mean,Spectral_Roll_Off_Variance,Spectral_Flux_Mean,Spectral_Flux_Variance,Fundamental_Frequency_Mean,Fundamental_Frequency_Variance,Edge_Change_Ratio_Mean,Edge_Change_Ratio_Variance
1,123,1.316440,1.516003,5.605905,5.346760,0.013233,0.010729,0.091743,0.050768,3808.067871,702.992493,7533.133301,1390.499268,971.098511,1894.978027,114.965019,45.018257,0.422333825949,0.663917631952
1,124,0.966079,0.546420,4.046537,3.190973,0.008338,0.011490,0.075504,0.065841,3466.266113,904.122925,7580.040039,1391.858643,724.249573,1722.364502,110.605591,47.206207,0.33266418864,0.766183685153
1,109,2.035407,0.571643,9.551406,5.803685,0.015189,0.014294,0.094209,0.044991,3798.196533,745.916321,7490.365723,1466.404785,1430.728149,2264.551025,139.833878,51.343670,0.346673819286,0.225022420218
1,86,3.206008,0.786326,10.092709,2.693058,0.013962,0.011039,0.092042,0.043756,3761.712402,840.047485,7411.335938,1639.901367,1154.446777,1610.234619,144.305328,50.244751,0.99332283165,0.840082960689
1,76,3.135861,0.896346,10.348035,2.651010,0.020914,0.012061,0.108018,0.052617,3784.488037,892.398682,7297.695801,1726.300415,1548.101074,1549.001587,131.560104,50.382572,0.341520175002,0.710470129795
1,63,1.729633,0.493336,4.814710,1.349464,0.016101,0.011201,0.127927,0.067082,3735.518799,973.172607,7216.269043,1884.152466,1101.142212,1400.455933,127.362915,45.062538,0.126540051825,0.453793629763
1,37,0.488582,0.646101,9.193557,13.368759,0.013238,0.010493,0.134122,0.089899,3559.692139,1239.601318,6840.541992,2386.472168,705.132385,1041.861206,109.580750,49.499844,0.0141253865023,0.780474469263
1,28,1.912773,1.238620,12.591994,16.522797,0.010965,0.007385,0.143415,0.071265,3431.832275,1401.175171,6461.608887,2641.310059,572.162476,846.915344,112.062065,59.086800,0.879271815264,0.100581831049
1,90,4.446828,3.007744,13.681284,8.180489,0.015537,0.011874,0.127431,0.051826,3811.497314,822.444885,7321.944336,1585.508789,1203.733521,1841.292358,128.217590,45.579910,0.802862328864,0.607238946681
1,39,9.082875,3.979809,18.950127,7.487096,0.015338,0.011326,0.167949,0.084367,3587.599854,1213.071533,6767.949707,2299.218750,1523.940186,2244.209473,125.940247,54.970184,0.86076644283,0.795668744106
1,35,5.541370,3.746644,17.127348,8.905652,0.013702,0.012665,0.161250,0.061079,3527.386230,1267.581055,6541.429688,2350.517334,1151.827271,1924.691162,131.841431,56.853146,0.254915476543,0.615579324673
1,56,4.980148,2.165492,18.260698,9.478476,0.013703,0.006267,0.115402,0.125917,3660.811523,1065.156372,7081.698730,2022.440430,607.615234,483.642334,121.046257,50.206848,0.89383048005,0.57666707352
1,44,0.985358,1.133078,5.623209,7.615088,0.013907,0.005289,0.067543,0.026143,3634.691650,1149.526611,7101.136719,2245.791748,442.926727,330.481323,104.812180,44.420036,0.441794508512,0.632923399724
1,46,5.098480,4.299145,16.210764,9.947581,0.012770,0.009053,0.110122,0.062959,3634.043213,1122.384155,7024.999512,2172.737061,691.853333,916.942261,143.719345,59.815006,0.516036365255,0.464025138763
1,30,4.476842,1.987119,12.356640,7.803830,0.011803,0.008397,0.094479,0.060629,3438.581543,1349.650269,6734.166992,2644.215332,547.770203,827.815247,131.609970,62.985394,0.778928746432,0.0814241576482
1,41,4.944958,2.554706,19.797184,7.313418,0.014482,0.009869,0.093445,0.055327,3589.588135,1181.414307,7012.194336,2308.937988,897.013611,1114.416138,120.376488,51.050610,0.0197254669057,0.0610961339773
1,45,5.340932,2.193098,17.277145,5.847475,0.014733,0.008707,0.111319,0.088363,3621.820312,1132.080933,7059.444336,2212.676025,663.214050,611.872070,117.709869,52.678230,0.512529245584,0.307446468465
1,45,5.802182,2.908596,14.641971,6.270773,0.019044,0.010232,0.091181,0.056687,3632.916992,1136.127930,7055.001465,2206.317139,1428.565308,1355.926880,134.206146,52.275059,0.0667096169841,0.315586098818
1,25,0.834001,1.674893,5.456865,8.578226,0.015192,0.009498,0.132875,0.090328,3362.995117,1467.950562,6365.000488,2785.916260,1020.268066,1155.003784,130.191299,67.470810,0.0781673408107,0.816183190743
1,57,3.486077,1.928280,11.625623,6.826046,0.015305,0.010998,0.145504,0.091697,3705.995361,1019.388428,7100.000488,1962.632568,1047.606201,1210.850098,127.234779,51.241100,0.0459196338963,0.846528894562
1,63,4.367390,1.457822,16.025848,7.402889,0.016259,0.009480,0.096875,0.069814,3725.254883,970.988464,7305.158203,1908.834473,825.183105,1049.919434,103.706894,44.283569,0.933027090159,0.204689138313
1,43,1.462174,1.556971,6.386631,7.783885,0.017234,0.009771,0.095858,0.065270,3612.817871,1157.889648,7051.746582,2263.453857,1161.599243,1293.356812,107.004532,45.927773,0.962729347096,0.984261357755
1,44,2.083917,0.725230,7.652933,6.108216,0.015476,0.009129,0.102486,0.062298,3632.284668,1148.976562,7047.728027,2232.952637,803.239685,865.966858,118.436836,51.819649,0.856734643398,0.610410657032
1,25,2.919884,1.474494,11.468410,10.244077,0.016230,0.009146,0.096000,0.062372,3360.042236,1466.651489,6520.000977,2847.664795,933.999084,742.893616,103.974876,53.334267,0.775579506494,0.330758812025
1,59,4.847461,3.670029,11.244719,8.483063,0.016724,0.008256,0.135222,0.075259,3727.716064,1005.831726,7144.066406,1937.641602,866.674622,774.392090,120.747284,49.133236,0.753374153796,0.680512225185
1,48,4.688819,2.816283,9.181739,4.236351,0.016133,0.008125,0.097591,0.051747,3662.477051,1104.663086,7099.479980,2143.590088,898.405579,1032.631348,131.495575,55.949471,0.741381429159,0.177637917545
1,26,1.826889,1.053821,5.255596,2.685345,0.013834,0.007716,0.081490,0.046529,3374.847168,1439.345093,6590.385254,2811.020264,668.716003,552.784058,135.434509,70.504906,0.767855952026,0.494581468432
1,37,3.670870,1.458301,12.111532,5.457500,0.015317,0.009330,0.117145,0.068071,3551.322754,1238.630615,6846.621094,2389.056885,770.683533,683.226929,131.756927,59.817772,0.0470062901057,0.832357405748
1,44,4.113366,3.041399,13.265870,8.067704,0.014234,0.008480,0.152202,0.092717,3617.204102,1147.526367,6809.089844,2166.316895,942.843750,891.627014,141.019424,50.712231,0.261436365866,0.121144896394
1,31,6.840872,2.887954,7.988593,3.173546,0.016192,0.008617,0.107661,0.071977,3480.162109,1339.848999,6787.098633,2614.521240,890.175720,810.137939,103.353340,48.209171,0.288319181475,0.319601803304
1,38,2.271092,1.347793,8.065054,4.424864,0.015116,0.008825,0.119490,0.062186,3566.662109,1223.944092,6922.368164,2377.519043,755.480164,844.153259,108.256485,49.265926,0.738864867403,0.30860272939
1,46,3.979622,2.325669,8.807868,3.296353,0.011865,0.010172,0.115897,0.092562,3558.674072,1112.499756,7046.197266,2184.521729,832.195129,1261.006226,128.447479,55.506393,0.987546058834,0.255210405335
1,166,2.813898,1.875137,9.328355,11.657763,0.018583,0.007807,0.123155,0.050074,3902.283936,613.877258,7534.337402,1191.021484,1158.100220,993.427307,131.685349,41.703636,0.78571309475,0.0934605081498
1,28,1.383461,0.594609,5.913915,2.495993,0.016491,0.008927,0.110937,0.062413,3433.190186,1401.758301,6600.893066,2698.420898,951.737671,797.000244,117.268723,57.427925,0.576185834989,0.174656961977
1,68,0.156030,0.207354,2.142282,3.772221,0.017497,0.008939,0.137270,0.086866,3753.625488,939.070251,7248.528809,1821.419312,979.659668,968.635925,125.456085,47.370583,0.533716959301,0.867344969998
1,26,2.815520,2.100776,7.087987,4.010942,0.014610,0.008583,0.195673,0.128990,3386.277588,1444.186157,6411.539062,2741.238037,844.432556,822.588928,122.109520,61.926872,0.149289178694,0.42416023268
1,34,1.991620,0.940144,4.656794,2.121736,0.012330,0.008754,0.211857,0.121212,3511.045898,1282.742310,6639.706543,2443.562012,619.076294,864.721130,123.011108,61.614597,0.0502573070658,0.589849438666
