label,Shot_Length,Motion_Distribution_Mean,Motion_Distribution_Variance,Frame_Diff_Distribution_Mean,Frame_Diff_Distribution_Variance,Short_Time_Energy_Mean,Short_Time_Energy_Variance,ZCR_Mean,ZCR_Variance,Spectral_Centroid_Mean,Spectral_Centroid_Variance,Spectral_Roll_Off_Mean,Spectral_Roll_Off_Variance,Spectral_Flux_Mean,Spectral_Flux_Variance,Fundamental_Frequency_Mean,Fundamental_Frequency_Variance,Edge_Change_Ratio_Mean,Edge_Change_Ratio_Variance
1,29,3.821209,1.567568,13.547628,7.242389,0.019883,0.012195,0.067241,0.049107,3406.866211,1363.990601,6796.552246,2719.626709,1021.359192,940.742371,102.607803,60.178288,0.524254589766,0.866497632425
1,25,3.052969,1.641484,22.334589,15.734018,0.023027,0.010731,0.077000,0.045884,3324.158203,1452.020752,6610.000488,2885.445312,1199.364380,821.123535,84.687698,46.896881,0.0723690220509,0.534710727831
1,82,1.601274,1.508805,5.860583,3.301121,0.025948,0.006956,0.082317,0.044845,3771.984131,855.766479,7488.112305,1697.350586,1544.147461,807.137268,92.694611,41.182648,0.552685105487,0.91876365386
1,25,4.819368,2.879584,41.382828,24.448074,0.014387,0.007596,0.069875,0.046916,3301.686035,1441.997681,6606.000977,2883.914795,599.555176,535.151978,96.595497,61.861046,0.117910955491,0.223209749392
1,29,2.768753,1.797319,13.338054,9.980667,0.011506,0.007269,0.100647,0.067401,3266.021484,1432.114868,6688.794922,2678.393799,446.452423,411.464722,95.036949,48.364391,0.529580761627,0.968129729176
1,25,3.679925,2.145892,27.195999,21.484812,0.012956,0.007638,0.068125,0.036726,3324.525391,1451.852661,6565.000977,2866.238770,637.621582,591.398682,109.964935,60.042408,0.919496384321,0.696617277386
1,113,2.782705,1.334851,11.439361,6.420032,0.016132,0.004972,0.100719,0.045669,3836.261719,736.441650,7486.948242,1439.655518,829.102234,709.771484,124.976440,43.186550,0.164711880329,0.937035852423
1,161,1.403820,0.785495,6.740815,4.428925,0.016213,0.004976,0.125213,0.057308,3883.300781,621.249146,7499.845215,1207.948120,832.503845,654.328735,131.131851,41.803993,0.0911577269072,0.725999313729
1,81,0.984162,0.964449,6.858030,9.850760,0.016380,0.005785,0.110147,0.053809,3795.925049,865.631287,7359.878418,1681.221191,948.118774,937.541321,122.911346,45.429214,0.509578062433,0.11246547771
1,116,1.262012,1.559164,6.325819,9.576903,0.015549,0.004378,0.122683,0.046648,3853.648438,728.946777,7461.855469,1413.816772,728.807373,516.717346,124.330650,46.916607,0.807413425574,0.391061126207
1,26,3.348305,2.490859,25.950470,18.883072,0.012698,0.006275,0.122115,0.058199,3384.607178,1443.361572,6509.614746,2776.845703,541.736389,533.083252,116.905266,64.803650,0.900092638506,0.285227540286
1,25,2.734797,1.554075,12.322391,11.380774,0.012863,0.006534,0.108750,0.055028,3343.050781,1459.504150,6493.000488,2834.502197,482.520508,391.433380,97.256348,57.748589,0.78827881906,0.664417166054
